index,text,emotions
378374,id feel disappointed and cheated to have given so much just to end up on the desert hotel stage entertaining a gaggle of senior gamblers,sadness
407406,i feel so unprotected so hurt,sadness
361363,i feel depressed today,sadness
385943,i permanently veer between finding frugality very seductive and just really enjoying the feeling of buying a fantastic new outfit,joy
363903,i bring up the issue in conversation i feel insulted because i have always been driven and decently gifted intellectually i was valedictorian and yet i feel like the only person who believes i could do this and i definitely have my own doubts is myself,anger
371803,i feel proud about breastfeeding for this length of time but also in the gentle way i a href http older mum,joy
400417,i have been trying to work on this making it a point to apologize to myself and say thats okay at times when i am feeling overwhelmed,fear
371094,i feel a lot more contented with my lot in life now i listen to my body more and always have a better frame of mind,joy
408444,i also feel a much intelligent blogger as perhaps many other kiwi s who bookmark rss feeds,joy
359355,i do often feel a barely repressed irritability an annoying emotional phlegm which i often cannot properly cough up,sadness
372250,i was really feeling discouraged and questioning a lot,sadness
380386,i was feeling generous i would allow her perhaps two minutes to finish her conversation usually picking up the handset in my room at least once at which point she would screech into the receiver get off the phone,love
375842,i feel wonderful var disqus config function var config this access to the config object config,joy
350850,i was feeling pretty defeated,sadness
364944,i take i feel pretty miserable,sadness
394194,im feeling pretty fabulous,joy
404955,i wanted to feel the goosebumps again to be amazed at how god is working in gk,surprise
397571,i feel strongly about it and don t want to get distracted from the main point of this post,anger
402156,i can feel my body getting tighter and supporting my back more,love
400407,i probably just feel greedy,anger
