Game,Team Name,Q1,Q2,Q3,Q4
1,UC Davis,6,7,0,0
1,Cal,7,7,10,7
2,Cal,7,7,0,7
2,Auburn,7,0,0,7
3,San Diego State,3,0,0,7
3,Cal,7,0,14,10
4,Cal,0,6,3,0
4,Florida State,7,0,0,7
5,Miami,7,3,8,21
5,Cal,7,14,14,3
6,Cal,6,3,0,6
6,Pitt,7,10,0,0
7,NC State,3,7,0,14
7,Cal,7,6,10,0
8,Oregon State,0,0,0,7
8,Cal,14,17,10,3
9,Cal,10,19,7,10
9,Wake Forest,7,7,7,15
10,Syracuse,6,21,3,3
10,Cal,0,7,7,11
11,Stanford,14,0,7,0
11,Cal,0,7,3,14
12,Cal,0,0,3,3
12,SMU,14,7,0,17
13,Cal,10,3,0,0
13,UNVL,7,7,7,3
