year,undergrad,graduate
1869,40,0
1870,90,3
1871,151,0
1872,185,0
1873,189,2
1874,222,9
1875,305,5
1876,305,3
1877,316,4
1878,327,5
1879,261,7
1880,246,0
1881,221,3
1882,215,0
1883,210,6
1884,236,5
1885,232,11
1886,279,9
1887,294,12
1888,348,15
1889,380,21
1890,432,25
1891,510,37
1892,603,47
1893,751,64
1894,1024,100
1895,1218,118
1896,1377,121
1897,1499,174
1898,1532,194
1899,1783,219
1900,2058,183
1901,2248,230
1902,2456,219
1903,2433,269
1904,2469,243
1905,2519,351
1906,2505,281
1907,2610,324
1908,2699,403
1909,2953,425
1910,3272,501
1911,3583,578
1912,4052,648
1913,4683,707
1914,5066,832
1915,5286,1014
1916,5659,1092
1917,5106,907
1918,6223,805
1919,8959,1097
1920,9689,1198
1921,9478,1225
1922,9318,1471
1923,8949,1647
1924,8958,1719
1925,8639,1896
1926,9036,2002
1927,8932,2189
1928,8861,2280
1929,8959,2515
1930,9207,2709
1931,9600,3025
1932,9832,3352
1933,9771,2771
1934,10573,2763
1935,11629,2872
1936,12356,3078
1937,13189,3135
1938,13447,3447
1939,14331,3539
1940,13717,3436
1941,12426,2765
1942,11564,2003
1943,9537,1786
1944,9252,1776
1945,14896,3366
1946,20485,4787
1947,20391,4934
1948,20370,5482
1949,19237,6066
1950,16602,5744
1951,13844,4999
1952,13404,4671
1953,12816,4547
1954,13551,4555
1955,14350,4826
1956,14813,5226
1957,14953,6060
1958,13179,5565
1959,15283,6656
1960,16227,7747
1961,15858,7855
1962,16720,8372
1963,17671,9085
1964,17768,9663
1965,16600,10224
1966,16862,10101
1967,18337,10526
1968,17887,9852
1969,18016,9635
1970,18711,9363
1971,18398,8831
1972,19170,8803
1973,20777,8587
1974,20469,8670
1975,20639,8745
1976,19773,8632
1977,19244,8326
1978,19941,8468
1979,21135,8608
1980,21481,8627
1981,19244,8326
1982,20356,8169
1983,21132,8090
1984,21763,8459
1985,22184,8508
1986,21992,8715
1987,22636,8627
1988,22595,8213
1989,22212,8116
1990,21525,8308
1991,21581,8036
1992,21721,8132
1993,21593,7933
1994,21018,7859
1995,21061,7854
1996,21236,7847
1997,21631,7942
1998,22273,7998
1999,22593,8042
2000,22557,8004
2001,23152,8248
2002,23715,8692
2003,23205,9102
2004,22880,9179
2005,23482,9311
2006,23863,9290
2007,24636,9544
2008,25151,9488
2009,25530,9493
2010,25536,9475
2011,25878,9494
2012,25774,9364
2013,25951,9518
2014,27126,9731
2015,27496,9961
2016,29310,10098
2017,30574,10532
2018,30853,10940
2019,31348,11118
2020,30799,10843
2021,31814,12492
2022,32479,12070
2023,33078,11923
2024,33070,12096
