chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-01-04,1,All I Want For Christmas Is You,Mariah Carey,1,1,71
2025-01-04,2,Rockin' Around The Christmas Tree,Brenda Lee,2,1,64
2025-01-04,3,Last Christmas,Wham!,3,3,45
2025-01-04,4,Jingle Bell Rock,Bobby Helms,4,3,61
2025-01-04,5,Santa Tell Me,Ariana Grande,9,5,29
2025-01-04,6,A Holly Jolly Christmas,Burl Ives,5,4,45
2025-01-04,7,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,45
2025-01-04,8,Let It Snow! Let It Snow! Let It Snow!,Dean Martin,8,7,36
2025-01-04,9,Underneath The Tree,Kelly Clarkson,10,9,32
2025-01-04,10,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",14,9,49
2025-01-04,11,Feliz Navidad,Jose Feliciano,16,6,37
2025-01-04,12,It's Beginning To Look A Lot Like Christmas,Michael Buble,15,12,24
2025-01-04,13,Sleigh Ride,The Ronettes,17,8,33
2025-01-04,14,Run Rudolph Run,Chuck Berry,21,10,26
2025-01-04,15,Christmas (Baby Please Come Home),Darlene Love,23,15,26
2025-01-04,16,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,24,12,27
2025-01-04,17,Die With A Smile,Lady Gaga & Bruno Mars,6,2,19
2025-01-04,18,Jingle Bells,Frank Sinatra With The Orchestra & Chorus Of Gordon Jenkins,27,16,18
2025-01-04,19,White Christmas (1947),Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,28,12,39
2025-01-04,20,Deck The Halls,Nat King Cole,31,16,17
2025-01-04,21,Blue Christmas,Elvis Presley,36,18,16
2025-01-04,22,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,37,20,12
2025-01-04,23,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,35,21,24
2025-01-04,24,A Bar Song (Tipsy),Shaboozey,13,1,37
2025-01-04,25,Little Saint Nick,The Beach Boys,43,25,11
2025-01-04,26,Wonderful Christmastime,Paul McCartney,39,26,16
2025-01-04,27,Luther,Kendrick Lamar & SZA,11,3,5
2025-01-04,28,Birds Of A Feather,Billie Eilish,18,2,32
2025-01-04,29,Please Come Home For Christmas,Eagles,49,18,17
2025-01-04,30,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,48,16,29
2025-01-04,31,Christmastime Is Here,Vince Guaraldi Trio,46,31,7
2025-01-04,32,TV Off,Kendrick Lamar Featuring Lefty Gunplay,12,2,5
2025-01-04,33,That's So True,Gracie Abrams,19,6,10
2025-01-04,34,APT.,ROSE & Bruno Mars,22,8,10
2025-01-04,35,This Christmas,Donny Hathaway,0,34,6
2025-01-04,36,Baby It's Cold Outside,Dean Martin,0,36,2
2025-01-04,37,Holly Jolly Christmas,Michael Buble,0,37,1
2025-01-04,38,Merry Christmas,Ed Sheeran & Elton John,0,38,8
2025-01-04,39,Like It's Christmas,Jonas Brothers,50,39,9
2025-01-04,40,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,0,31,13
2025-01-04,41,Taste,Sabrina Carpenter,26,2,18
2025-01-04,42,Mistletoe,Justin Bieber,0,11,14
2025-01-04,43,Snowman,Sia,0,43,1
2025-01-04,44,Squabble Up,Kendrick Lamar,20,1,5
2025-01-04,45,30 For 30,SZA With Kendrick Lamar,0,45,1
2025-01-04,46,Espresso,Sabrina Carpenter,30,3,37
2025-01-04,47,I Had Some Help,Post Malone Featuring Morgan Wallen,29,1,33
2025-01-04,48,Winter Wonderland,Darlene Love,0,48,1
2025-01-04,49,Happy Holiday / The Holiday Season,Andy Williams,0,18,21
2025-01-04,50,You Make It Feel Like Christmas,Gwen Stefani Featuring Blake Shelton,0,50,1
2025-01-04,51,Timeless,The Weeknd & Playboi Carti,32,3,13
2025-01-04,52,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",34,10,9
2025-01-04,53,Love Somebody,Morgan Wallen,38,1,10
2025-01-04,54,Whatchu Kno About Me,GloRilla & Sexyy Red,45,17,11
2025-01-04,55,BMF,SZA,0,55,1
2025-01-04,56,Christmas Magic,Laufey,67,56,4
2025-01-04,57,High Road,Koe Wetzel & Jessie Murph,51,22,29
2025-01-04,58,Sailor Song,Gigi Perez,52,22,19
2025-01-04,59,Drive,SZA,0,59,1
2025-01-04,60,Bed Chem,Sabrina Carpenter,55,14,18
2025-01-04,61,Messy,Lola Young,54,54,4
2025-01-04,62,Diamond Boy (DTM),SZA,0,62,1
2025-01-04,63,Scorsese Baby Daddy,SZA,0,63,1
2025-01-04,64,What Do I Do,SZA,0,64,1
2025-01-04,65,Wind Up Missin' You,Tucker Wetmore,58,40,39
2025-01-04,66,Like Him,"Tyler, The Creator Featuring Lola Young",56,29,9
2025-01-04,67,Pink Pony Club,Chappell Roan,62,26,28
2025-01-04,68,Tu Boda,Oscar Maydon & Fuerza Regida,61,22,10
2025-01-04,69,No More Hiding,SZA,0,69,1
2025-01-04,70,Crybaby,SZA,0,70,1
2025-01-04,71,Kitchen,SZA,0,71,1
2025-01-04,72,I Never Lie,Zach Top,66,58,14
2025-01-04,73,Another Life,SZA,0,73,1
2025-01-04,74,No One Noticed,The Marias,64,22,13
2025-01-04,75,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,59,44,5
2025-01-04,76,It's Ok I'm Ok,Tate McRae,68,20,15
2025-01-04,77,Indigo,Sam Barber Featuring Avery Anna,65,65,3
2025-01-04,78,Run Rudolph Run,Mark Ambor,0,78,1
2025-01-04,79,Love Me 4 Me,SZA,0,79,1
2025-01-04,80,Chill Baby,SZA,0,80,1
2025-01-04,81,My Turn,SZA,0,81,1
2025-01-04,82,Hey Now,Kendrick Lamar Featuring Dody6,60,5,5
2025-01-04,83,Que Pasaria...,Rauw Alejandro & Bad Bunny,69,34,6
2025-01-04,84,Liar,Jelly Roll,74,62,13
2025-01-04,85,Residuals,Chris Brown,82,59,17
2025-01-04,86,Help Me,Real Boston Richey,79,47,23
2025-01-04,87,I'm Gonna Love You,Cody Johnson & Carrie Underwood,76,42,13
2025-01-04,88,Holiday Road,Kesha,0,88,1
2025-01-04,89,Santa Baby,Laufey,0,89,1
2025-01-04,90,Wacced Out Murals,Kendrick Lamar,63,4,5
2025-01-04,91,Dancing In The Flames,The Weeknd,81,14,15
2025-01-04,92,Empty Out Your Pockets,Juice WRLD,72,56,4
2025-01-04,93,Heart Of A Woman,Summer Walker,83,57,9
2025-01-04,94,4x4xU,Lainey Wilson,75,75,7
2025-01-04,95,Good News,Shaboozey,77,71,5
2025-01-04,96,Dos Dias,Tito Double P & Peso Pluma,88,51,16
2025-01-04,97,25,Rod Wave,94,16,11
2025-01-04,98,Popular,Ariana Grande,73,53,5
2025-01-04,99,Think I'm In Love With You,Chris Stapleton,89,49,34
2025-01-04,100,Peekaboo,Kendrick Lamar Featuring AzChike,71,13,5
2025-01-11,1,Die With A Smile,Lady Gaga & Bruno Mars,17,1,20
2025-01-11,2,A Bar Song (Tipsy),Shaboozey,24,1,38
2025-01-11,3,Birds Of A Feather,Billie Eilish,28,2,33
2025-01-11,4,Lose Control,Teddy Swims,0,1,72
2025-01-11,5,APT.,ROSE & Bruno Mars,34,5,11
2025-01-11,6,That's So True,Gracie Abrams,33,6,11
2025-01-11,7,Luther,Kendrick Lamar & SZA,27,3,6
2025-01-11,8,I Had Some Help,Post Malone Featuring Morgan Wallen,47,1,34
2025-01-11,9,Espresso,Sabrina Carpenter,46,3,38
2025-01-11,10,Taste,Sabrina Carpenter,41,2,19
2025-01-11,11,TV Off,Kendrick Lamar Featuring Lefty Gunplay,32,2,6
2025-01-11,12,Beautiful Things,Benson Boone,0,2,49
2025-01-11,13,Love Somebody,Morgan Wallen,53,1,11
2025-01-11,14,Too Sweet,Hozier,0,1,40
2025-01-11,15,Timeless,The Weeknd & Playboi Carti,51,3,14
2025-01-11,16,Squabble Up,Kendrick Lamar,44,1,6
2025-01-11,17,"Good Luck, Babe!",Chappell Roan,0,4,38
2025-01-11,18,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",52,10,10
2025-01-11,19,Stargazing,Myles Smith,0,19,33
2025-01-11,20,Not Like Us,Kendrick Lamar,0,1,34
2025-01-11,21,Whatchu Kno About Me,GloRilla & Sexyy Red,54,17,12
2025-01-11,22,30 For 30,SZA With Kendrick Lamar,45,22,2
2025-01-11,23,High Road,Koe Wetzel & Jessie Murph,57,22,30
2025-01-11,24,Who,Jimin,0,12,23
2025-01-11,25,Messy,Lola Young,61,25,5
2025-01-11,26,Please Please Please,Sabrina Carpenter,0,1,28
2025-01-11,27,Smile,Morgan Wallen,0,27,1
2025-01-11,28,I Am Not Okay,Jelly Roll,0,14,28
2025-01-11,29,BMF,SZA,55,29,2
2025-01-11,30,Million Dollar Baby,Tommy Richman,0,2,32
2025-01-11,31,Wind Up Missin' You,Tucker Wetmore,65,31,40
2025-01-11,32,Bed Chem,Sabrina Carpenter,60,14,19
2025-01-11,33,Sailor Song,Gigi Perez,58,22,20
2025-01-11,34,Lies Lies Lies,Morgan Wallen,0,7,22
2025-01-11,35,Wildflower,Billie Eilish,0,17,29
2025-01-11,36,Pink Pony Club,Chappell Roan,67,26,29
2025-01-11,37,Like Him,"Tyler, The Creator Featuring Lola Young",66,29,10
2025-01-11,38,I Never Lie,Zach Top,72,38,15
2025-01-11,39,Liar,Jelly Roll,84,39,14
2025-01-11,40,I'm Gonna Love You,Cody Johnson & Carrie Underwood,87,40,14
2025-01-11,41,Scorsese Baby Daddy,SZA,63,41,2
2025-01-11,42,Tu Boda,Oscar Maydon & Fuerza Regida,68,22,11
2025-01-11,43,"I Love You, I'm Sorry",Gracie Abrams,0,19,21
2025-01-11,44,It's Ok I'm Ok,Tate McRae,76,20,16
2025-01-11,45,4x4xU,Lainey Wilson,94,45,8
2025-01-11,46,No One Noticed,The Marias,74,22,14
2025-01-11,47,Good News,Shaboozey,95,47,6
2025-01-11,48,Indigo,Sam Barber Featuring Avery Anna,77,48,4
2025-01-11,49,Defying Gravity,Cynthia Erivo Featuring Ariana Grande,75,44,6
2025-01-11,50,Loco,Neton Vega,0,50,1
2025-01-11,51,Drive,SZA,59,51,2
2025-01-11,52,Que Pasaria...,Rauw Alejandro & Bad Bunny,83,34,7
2025-01-11,53,Think I'm In Love With You,Chris Stapleton,99,49,35
2025-01-11,54,Guy For That,Post Malone Featuring Luke Combs,0,17,20
2025-01-11,55,Dancing In The Flames,The Weeknd,91,14,16
2025-01-11,56,Hey Now,Kendrick Lamar Featuring Dody6,82,5,6
2025-01-11,57,Help Me,Real Boston Richey,86,47,24
2025-01-11,58,Residuals,Chris Brown,85,58,18
2025-01-11,59,Am I Okay?,Megan Moroney,0,59,17
2025-01-11,60,Diamond Boy (DTM),SZA,62,60,2
2025-01-11,61,I Ain't Sayin',Jordan Davis,0,61,2
2025-01-11,62,What Do I Do,SZA,64,62,2
2025-01-11,63,Heart Of A Woman,Summer Walker,93,57,10
2025-01-11,64,Another Life,SZA,73,64,2
2025-01-11,65,Bad Dreams,Teddy Swims,0,65,5
2025-01-11,66,No Pole,Don Toliver,0,66,9
2025-01-11,67,Empty Out Your Pockets,Juice WRLD,92,56,5
2025-01-11,68,Dos Dias,Tito Double P & Peso Pluma,96,51,17
2025-01-11,69,Close To You,Gracie Abrams,0,49,20
2025-01-11,70,Popular,Ariana Grande,98,53,6
