Sleep Time,# Respondents,% Population (Estimated)
0,105,1.8628927297429316
1,27,0.5518392830419119
2,22,0.34018814202273856
3,42,0.5886301622971465
4,173,2.3340950456115905
5,420,6.536400992951566
6,1535,22.63657582720868
7,2200,29.982783897298702
8,1873,26.872104316722062
9,331,4.48109773788693
10,147,2.2556139575986687
11,11,0.1921760586054854
12,42,1.025026903403054
13,3,0.06999197161439497
14,5,0.06432100660362355
15,2,0.01834085566549567
16,6,0.08470301203145698
18,2,0.013802211525084472
20,2,0.06589252011515105
24,1,0.02352336805331201
