Hospital Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
Adventist Health White Memorial,Los Angeles,390,22631,98655,4652526
California Hospital Medical Center,Los Angeles,318,14346,78114,1865705
Cedars-Sinai Medical Center,Los Angeles,913,51618,302122,30549738
CHA Hollywood Presbyterian Medical Center,Los Angeles,434,12444,62518,1580028
Docs Surgical Hospital,Los Angeles,17,338,403,67608
East Los Angeles Doctors Hospital,Los Angeles,127,3130,11066,352277
LA Downtown Medical Center Downtown Campus,Los Angeles,315,6575,65340,343087
Los Angeles Community Hospital,Los Angeles,212,11624,51244,875685
Los Angeles General Medical Center,Los Angeles,603,29727,150666,4952464
Los Angeles Medical Center,Los Angeles,560,22329,127070,4324839
"Martin Luther King, Jr. Community Hospital",Los Angeles,152,9468,52211,4374292
PIH Health Good Samaritan Hospital,Los Angeles,331,10418,45213,1607786
Ronald Reagan UCLA Medical Center,Los Angeles,446,22799,181776,8527737
The Keck Hospital of USC,Los Angeles,323,12230,85059,5300177
UCLA Mattel Children's Hospital,Los Angeles,0,0,0,0
USC Norris Comprehensive Cancer Center,Los Angeles,60,1545,16819,2163611
West Los Angeles Medical Center,Los Angeles,265,10429,43938,2331332
West Los Angeles VA Medical Center,Los Angeles,0,0,0,0
