Hospital Name,City,Staffed_Beds,Total_Discharges,Patient_Days,Gross_Patient_Revenue
Chinese Hospital,San Francisco,81,1134,4920,270421
CPMC Davies Campus,San Francisco,209,3751,16801,892619
CPMC Mission Bernal Campus & Orthopedic Institute,San Francisco,120,5309,23490,706019
CPMC Van Ness Campus,San Francisco,274,15180,86968,3196043
Kaiser Permanente San Francisco Medical Center,San Francisco,239,11704,60634,2524746
Laguna Honda Hospital and Rehabilitation Center,San Francisco,780,193,948,313682
San Francisco VA Medical Center,San Francisco,0,0,0,0
UCSF Betty Irene Moore Women's Hospital,San Francisco,0,0,0,0
UCSF Health Hyde Hospital,San Francisco,226,2753,16366,905762
UCSF Health Stanyan Hospital,San Francisco,158,4495,22666,976511
UCSF Helen Diller Medical Center at Parnassus Heights,San Francisco,887,35954,280181,24666248
UCSF Mission Bay Campus,San Francisco,0,0,0,0
Zuckerberg San Francisco General Hospital and Trauma Center,San Francisco,397,13909,89854,4472723
