Age,Gender,Education Level,Job Title,Years of Experience,Salary,
32,Male,Bachelor's Degree,Software Engineer,5,90000,FALSE
28,Female,Master's Degree,Data Analyst,3,65000,FALSE
45,Male,PhD,Senior Manager,15,150000,FALSE
36,Female,Bachelor's Degree,Sales Associate,7,60000,FALSE
52,Male,Master's Degree,Director,20,200000,FALSE
29,Male,Bachelor's Degree,Marketing Analyst,2,55000,FALSE
42,Female,Master's Degree,Product Manager,12,120000,FALSE
31,Male,Bachelor's Degree,Sales Manager,4,80000,FALSE
26,Female,Bachelor's Degree,Marketing Coordinator,1,45000,FALSE
38,Male,PhD,Senior Scientist,10,110000,FALSE
29,Male,Master's Degree,Software Developer,3,75000,FALSE
48,Female,Bachelor's Degree,HR Manager,18,140000,FALSE
35,Male,Bachelor's Degree,Financial Analyst,6,65000,FALSE
40,Female,Master's Degree,Project Manager,14,130000,FALSE
27,Male,Bachelor's Degree,Customer Service Rep,2,40000,FALSE
44,Male,Bachelor's Degree,Operations Manager,16,125000,FALSE
33,Female,Master's Degree,Marketing Manager,7,90000,FALSE
39,Male,PhD,Senior Engineer,12,115000,FALSE
25,Female,Bachelor's Degree,Data Entry Clerk,0,35000,FALSE
51,Male,Bachelor's Degree,Sales Director,22,180000,FALSE
34,Female,Master's Degree,Business Analyst,5,80000,FALSE
47,Male,Master's Degree,VP of Operations,19,190000,FALSE
30,Male,Bachelor's Degree,IT Support,2,50000,FALSE
36,Female,Bachelor's Degree,Recruiter,9,60000,FALSE
41,Male,Master's Degree,Financial Manager,13,140000,FALSE
28,Female,Bachelor's Degree,Social Media Specialist,3,45000,FALSE
37,Female,Master's Degree,Software Manager,11,110000,FALSE
24,Male,Bachelor's Degree,Junior Developer,1,40000,FALSE
43,Female,PhD,Senior Consultant,15,140000,FALSE
33,Male,Master's Degree,Product Designer,6,90000,FALSE
50,Male,Bachelor's Degree,CEO,25,250000,FALSE
31,Female,Bachelor's Degree,Accountant,4,55000,FALSE
29,Male,Master's Degree,Data Scientist,3,75000,FALSE
39,Female,Bachelor's Degree,Marketing Specialist,10,65000,FALSE
46,Male,PhD,Senior Manager,20,170000,FALSE
27,Male,Bachelor's Degree,Technical Writer,2,45000,FALSE
