School,City,Region,Applied,Admitted,Enrolled
21ST CENTURY CHARTER SCHL GARY,Gary,IN,0.0,0.0,0.0
21ST CENTURY EXPERIMENTAL SCH,nan,nan,125.0,104.0,33.0
32ND USC PERFORMING ARTS SCHOOL,Los Angeles,Los Angeles,0.0,0.0,0.0
A & M CONSOLIDATED HIGH SCHOOL,College Station,TX,5.0,0.0,0.0
A B LUCAS SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
A B MILLER HIGH SCHOOL,Fontana,San Bernardino,81.0,67.0,27.0
A BEKA ACADEMY VIDEO FOR HOMES,Pensacola,FL,5.0,4.0,0.0
A BOWMAN COLLEGIATE INSTITUTE,nan,nan,0.0,0.0,0.0
A C DAVIS SENIOR HIGH SCHOOL,Yakima,WA,0.0,0.0,0.0
A CRAWFORD MOSLEY HIGH SCHOOL,Lynn Haven,FL,0.0,0.0,0.0
A J DIMOND HIGH SCHOOL,Anchorage,AK,6.0,4.0,0.0
A N MCCALLUM HIGH SCHOOL,Austin,TX,31.0,17.0,0.0
A Y JACKSON SECONDARY SCHOOL,nan,nan,0.0,0.0,0.0
A+ CHARTER SCHOOL,Maricopa,AZ,0.0,0.0,0.0
A1 COLLEGE PREP,Los Angeles,Los Angeles,0.0,0.0,0.0
AAEC ESTRELLA MOUNTAIN COLG HS,Avondale,AZ,0.0,0.0,0.0
AAEC PARADISE VALLEY COLG HS,Phoenix,AZ,0.0,0.0,0.0
AAEC SOUTH MOUNTAIN COLG HS,Phoenix,AZ,0.0,0.0,0.0
ABBEY PARK HIGH SCHOOL,nan,nan,9.0,5.0,3.0
ABBOTSFORD CHRISTIAN SECONDARY,nan,nan,0.0,0.0,0.0
ABBOTSFORD COLLEGIATE,nan,nan,0.0,0.0,0.0
ABBOTSLEIGH,nan,nan,0.0,0.0,0.0
ABBY KELLEY FOSTER CHARTER SCH,Worcester,MA,0.0,0.0,0.0
ABC BILINGUAL SCHOOL,nan,nan,0.0,0.0,0.0
ABDUL AZIZ INTERNATIONAL SCHL,nan,nan,0.0,0.0,0.0
ABELARD SCHOOL,nan,nan,0.0,0.0,0.0
ABERDEEN HALL PREP SCHOOL,nan,nan,0.0,0.0,0.0
ABERDEEN HIGH SCHOOL,Aberdeen,MD,0.0,0.0,0.0
ABERDEEN HIGH SCHOOL,Aberdeen,WA,0.0,0.0,0.0
ABILENE HIGH SCHOOL,Abilene,TX,0.0,0.0,0.0
ABINGDON SCHOOL,nan,nan,0.0,0.0,0.0
ABINGTON FRIENDS SCHOOL,Jenkintown,PA,8.0,6.0,0.0
ABINGTON HEIGHTS HIGH SCHOOL,South Abington,PA,5.0,4.0,0.0
ABINGTON HIGH SCHOOL,Abington,PA,0.0,0.0,0.0
ABLE CHARTER,Stockton,San Joaquin,14.0,10.0,3.0
ABRAHAM JOSHUA HESCHEL HS,New York,NY,7.0,4.0,0.0
ABRAHAM LINCOLN HIGH SCHOOL,Council Bluffs,IA,0.0,0.0,0.0
ABRAHAM LINCOLN HIGH SCHOOL,Des Moines,IA,0.0,0.0,0.0
ABRAHAM LINCOLN HIGH SCHOOL,Los Angeles,Los Angeles,74.0,55.0,18.0
ABRAHAM LINCOLN HIGH SCHOOL,San Francisco,San Francisco,249.0,166.0,98.0
ABRAHAM LINCOLN HIGH SCHOOL,San Jose,Santa Clara,104.0,73.0,37.0
ABRAHAM LINCOLN SCHOOL,Marysville,Yuba,0.0,0.0,0.0
ABRAHAM LINCOLN SCHOOL,nan,nan,0.0,0.0,0.0
ABSEGAMI HIGH SCHOOL,Galloway,NJ,0.0,0.0,0.0
ABU DHABI INDIAN SCHOOL,nan,nan,0.0,0.0,0.0
ABU DHABI INTERNATIONAL PRIVAT,nan,nan,0.0,0.0,0.0
ABU DHABI INTRNTL PVT SCHOOL,nan,nan,0.0,0.0,0.0
ACACIAWOOD SCHOOL,Anaheim,Orange,0.0,0.0,0.0
ACAD FOR ACADEMIC EXCELLENCE,Apple Valley,San Bernardino,28.0,24.0,14.0
ACAD FOR MATH ENGINEERING & SCIENCE,Salt Lake City,UT,6.0,5.0,0.0
ACAD FOR MATH SCIENCE & ENGINEERING,Rockaway,NJ,26.0,7.0,0.0
ACADEMIA AVANCE CHARTER SCHOOL,Los Angeles,Los Angeles,12.0,10.0,3.0
ACADEMIA BRITANICA CUSCATLECA,nan,nan,0.0,0.0,0.0
ACADEMIA COTOPAXI,nan,nan,0.0,0.0,0.0
ACADEMIA DEL PERPETUO SOCORRO,San Juan,PR,0.0,0.0,0.0
ACADEMIA INTERAMERICANA PANAMA,nan,nan,0.0,0.0,0.0
ACADEMIA MARIA REINA,San Juan,PR,0.0,0.0,0.0
ACADEMIC CITY INTRNTNL SCHL,nan,nan,0.0,0.0,0.0
ACADEMIC LEADERSHIP COMMUNITY,Los Angeles,Los Angeles,59.0,42.0,9.0
ACADEMIC MAGNET HIGH SCHOOL,North Charleston,SC,6.0,4.0,0.0
ACADEMICS WEST,New York,NY,0.0,0.0,0.0
ACADEMIE STE CECILE INTL SCH,nan,nan,0.0,0.0,0.0
ACADEMIES @ SOUTH MOUNTAIN,Phoenix,AZ,0.0,0.0,0.0
ACADEMIES EDUCATION/EMPOWERMNT,Carson,Los Angeles,39.0,31.0,9.0
ACADEMIES OF ANTELOPE VALLEY,Lancaster,Los Angeles,9.0,4.0,0.0
ACADEMY AT CHARLEMONT,Charlemont,MA,0.0,0.0,0.0
ACADEMY AT PALUMBO,Philadelphia,PA,0.0,0.0,0.0
ACADEMY FOR HEALTH MED SCIENCE,Bridgewater,NJ,0.0,0.0,0.0
ACADEMY FOR INFORMATION TECH,Scotch Plains,NJ,10.0,4.0,0.0
ACADEMY FOR PERFORMING ARTS,Scotch Plains,NJ,0.0,0.0,0.0
ACADEMY FOR SCIENCE AND DESIGN,Nashua,NH,0.0,0.0,0.0
ACADEMY HIGH SCHOOL,Champaign,IL,0.0,0.0,0.0
ACADEMY INFO TECH ENGINEERING,Stamford,CT,0.0,0.0,0.0
ACADEMY NEW CHURCH GIRLS SCH,Bryn Athyn,PA,0.0,0.0,0.0
ACADEMY OF AEROSPACE & ENGINEERING,Windsor,CT,0.0,0.0,0.0
ACADEMY OF AMERICAN STUDIES,Long Island City,NY,6.0,3.0,0.0
ACADEMY OF ARTS/CAREERS/TECH,Reno,NV,6.0,5.0,0.0
ACADEMY OF CAREERS AND EXPLORA,Helendale,San Bernardino,5.0,0.0,0.0
ACADEMY OF FINANCE/ENTERPRISE,Long Island City,NY,0.0,0.0,0.0
ACADEMY OF HOLY ANGELS,Richfield,MN,9.0,6.0,0.0
ACADEMY OF INNOVATION,Hemet,Riverside,5.0,0.0,0.0
