Year,Department,Sex,Decision
1973,C,F,Deny
1973,B,M,Admit
1973,Other,F,Admit
1973,Other,M,Admit
1973,Other,M,Deny
1973,Other,M,Deny
1973,F,F,Admit
1973,Other,M,Admit
1973,Other,M,Deny
1973,A,M,Admit
1973,Other,F,Deny
1973,B,M,Admit
1973,C,M,Deny
1973,A,M,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,A,M,Admit
1973,Other,F,Admit
1973,Other,M,Deny
1973,F,M,Deny
1973,Other,M,Deny
1973,C,M,Admit
1973,C,F,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,Other,M,Deny
1973,Other,M,Deny
1973,Other,M,Deny
1973,C,M,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,F,F,Deny
1973,F,M,Deny
1973,D,M,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,Other,F,Deny
1973,C,F,Admit
1973,Other,M,Deny
1973,Other,M,Admit
1973,A,M,Deny
1973,Other,M,Admit
1973,A,M,Admit
1973,A,M,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,Other,M,Admit
1973,F,M,Deny
1973,Other,M,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,Other,M,Admit
1973,Other,M,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,A,M,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,C,F,Admit
1973,Other,F,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,C,F,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,Other,M,Admit
1973,E,M,Deny
1973,B,M,Deny
1973,A,M,Deny
1973,D,M,Admit
1973,C,F,Deny
1973,Other,M,Admit
1973,C,F,Deny
1973,C,M,Deny
1973,F,F,Deny
1973,Other,M,Deny
1973,B,M,Admit
1973,D,F,Deny
1973,Other,M,Admit
1973,Other,F,Deny
1973,Other,M,Deny
1973,Other,M,Admit
1973,Other,M,Admit
1973,D,F,Deny
1973,C,F,Admit
1973,C,F,Deny
1973,F,M,Deny
1973,Other,F,Deny
1973,Other,M,Admit
1973,Other,F,Deny
1973,Other,M,Admit
1973,C,M,Admit
1973,E,F,Admit
1973,F,F,Deny
1973,C,F,Admit
1973,Other,M,Deny
1973,Other,M,Deny
1973,D,M,Deny
1973,Other,M,Deny
1973,Other,F,Deny
1973,A,M,Admit
1973,Other,M,Deny
1973,Other,F,Admit
1973,B,M,Admit
1973,Other,M,Deny
1973,D,F,Deny
1973,Other,M,Deny
1973,D,M,Deny
1973,B,M,Deny
1973,F,M,Deny
1973,C,F,Admit
1973,Other,M,Deny
1973,Other,F,Admit
1973,Other,F,Admit
1973,D,F,Deny
1973,Other,F,Deny
1973,C,F,Deny
1973,F,M,Deny
1973,Other,M,Admit
1973,B,M,Deny
1973,Other,M,Admit
1973,Other,M,Deny
1973,A,M,Admit
1973,Other,M,Deny
1973,D,F,Deny
1973,D,F,Admit
1973,E,M,Admit
1973,D,M,Deny
1973,Other,M,Admit
1973,Other,M,Admit
